Nose_x,Neck_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,MidHip_x,RHip_x,RKnee_x,RAnkle_x,LHip_x,LKnee_x,LAnkle_x,REye_x,LEye_x,REar_x,LEar_x,LBigToe_x,LSmallToe_x,LHeel_x,RBigToe_x,RSmallToe_x,RHeel_x,Nose_y,Neck_y,RShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,LWrist_y,MidHip_y,RHip_y,RKnee_y,RAnkle_y,LHip_y,LKnee_y,LAnkle_y,REye_y,LEye_y,REar_y,LEar_y,LBigToe_y,LSmallToe_y,LHeel_y,RBigToe_y,RSmallToe_y,RHeel_y,time
291.518,297.496,270.493,262.493,252.527,323.451,322.5,299.474,291.523,275.514,237.496,0.0,308.497,266.5,0.0,284.526,298.486,278.496,307.492,0.0,0.0,0.0,0.0,0.0,0.0,160.51,137.448,138.495,101.49799999999999,73.49000000000001,132.513,86.51499999999999,59.492999999999995,66.47800000000001,68.519,34.507000000000005,270.0,62.51599999999999,22.488,270.0,165.517,166.507,163.538,166.497,270.0,270.0,270.0,270.0,270.0,270.0,0.96
291.517,297.496,270.492,262.493,252.527,323.452,322.509,299.497,291.518,275.512,237.506,0.0,308.494,266.492,0.0,284.527,298.479,278.494,307.479,0.0,0.0,0.0,0.0,0.0,0.0,160.50799999999998,137.448,138.495,101.493,73.48599999999999,132.515,87.48400000000001,59.518,66.47399999999999,68.50999999999999,34.5,270.0,62.51599999999999,21.50800000000001,270.0,165.513,166.498,163.536,165.518,270.0,270.0,270.0,270.0,270.0,270.0,1.0
291.513,297.496,270.499,262.486,252.535,322.519,322.515,299.498,291.52,275.509,237.51,0.0,308.502,266.505,0.0,284.527,298.47,278.494,307.473,0.0,0.0,0.0,0.0,0.0,0.0,160.51,137.453,138.499,101.506,73.506,132.525,87.50899999999999,59.498999999999995,66.471,68.506,34.492999999999995,270.0,62.51599999999999,22.50200000000001,270.0,165.513,166.49599999999998,164.489,166.487,270.0,270.0,270.0,270.0,270.0,270.0,1.04
291.508,297.493,270.488,261.542,252.538,322.518,322.512,299.505,291.521,275.506,237.487,0.0,308.503,267.454,0.0,284.522,298.461,278.492,307.465,0.0,0.0,0.0,0.0,0.0,0.0,160.511,137.451,138.495,101.501,73.507,132.525,87.50800000000001,59.512,66.482,68.52099999999999,34.489000000000004,270.0,63.49199999999999,22.50200000000001,270.0,165.512,166.495,164.486,166.487,270.0,270.0,270.0,270.0,270.0,270.0,1.08
291.502,297.492,269.54,262.486,252.542,323.449,322.51,299.491,291.529,275.514,237.501,0.0,308.515,266.51,0.0,284.517,297.512,278.487,307.462,0.0,0.0,0.0,0.0,0.0,0.0,160.50900000000001,137.451,138.494,101.511,73.517,133.486,87.49199999999999,59.508999999999986,66.47900000000001,68.51599999999999,34.476,270.0,63.486999999999995,22.483000000000004,270.0,165.513,166.49599999999998,164.498,166.497,270.0,270.0,270.0,270.0,270.0,270.0,1.12
291.493,297.49,269.537,261.542,252.54,323.453,322.504,298.511,291.528,275.515,237.484,0.0,308.513,266.499,0.0,284.506,297.498,277.537,307.455,0.0,0.0,0.0,0.0,0.0,0.0,160.50799999999998,137.449,138.494,101.501,73.52199999999999,132.519,86.499,58.548,66.483,68.52099999999999,34.49000000000001,270.0,63.488,22.489000000000004,270.0,165.515,166.49599999999998,164.498,166.49099999999999,270.0,270.0,270.0,270.0,270.0,270.0,1.16
291.487,297.488,269.536,261.54,252.528,323.451,322.506,299.467,291.517,275.508,237.507,0.0,308.499,266.488,0.0,284.503,297.49,277.535,307.455,0.0,0.0,0.0,0.0,0.0,0.0,160.507,137.449,138.494,101.49100000000001,73.50800000000001,132.516,86.50399999999999,59.497000000000014,66.482,69.489,34.47800000000001,270.0,63.488,21.48599999999999,270.0,165.517,166.49599999999998,164.503,166.489,270.0,270.0,270.0,270.0,270.0,270.0,1.2
291.479,297.486,269.535,261.538,252.525,323.451,322.505,299.463,291.523,275.51,237.507,0.0,308.507,266.5,0.0,284.494,297.48,277.532,307.45,0.0,0.0,0.0,0.0,0.0,0.0,160.507,137.451,138.498,101.487,73.493,132.519,86.506,59.494,66.48599999999999,69.493,34.485000000000014,270.0,63.49199999999999,21.49600000000001,270.0,165.517,166.498,164.497,166.485,270.0,270.0,270.0,270.0,270.0,270.0,1.24
291.474,297.488,270.485,262.485,252.53,323.451,322.507,299.454,291.528,275.514,237.503,0.0,308.511,266.468,0.0,284.492,297.475,277.531,307.449,0.0,0.0,0.0,0.0,0.0,0.0,160.50400000000002,137.452,138.501,101.50399999999999,73.50399999999999,132.511,86.505,59.488,66.487,69.49700000000001,34.485000000000014,270.0,63.49000000000001,20.52199999999999,270.0,165.517,166.498,164.499,166.489,270.0,270.0,270.0,270.0,270.0,270.0,1.28
291.461,297.491,270.492,261.539,252.52,323.449,322.501,299.481,291.532,275.518,237.514,0.0,308.517,266.493,0.0,284.482,296.506,277.523,307.452,0.0,0.0,0.0,0.0,0.0,0.0,160.503,137.449,138.501,100.523,73.46100000000001,132.506,86.499,59.50800000000001,66.488,69.494,34.47200000000001,270.0,63.495000000000005,20.489000000000004,270.0,165.518,166.501,164.499,166.49,270.0,270.0,270.0,270.0,270.0,270.0,1.32
