LAnkle;LBigToe;LEar;LElbow;LEye;LHeel;LHip;LKnee;LShoulder;LSmallToe;LWrist;MidHip;Neck;Nose;RAnkle;RBigToe;REar;RElbow;REye;RHeel;RHip;RKnee;RShoulder;RSmallToe;RWrist;time
(0.0, 0);(0.0, 0);(0.0, 0);(317.526, 93.49000000000001);(311.502, 170.5129);(0.0, 0);(308.513, 63.48599999999999);(265.489, 21.518);(318.502, 137.485);(0.0, 0);(299.532, 58.464);(292.476, 65.53);(292.509, 137.489);(309.51, 164.50900000000001);(0.0, 0);(0.0, 0);(284.542, 168.488);(251.51, 103.50899999999999);(301.541, 170.493);(0.0, 0);(276.496, 67.53299999999999);(240.483, 34.47300000000001);(267.469, 137.534);(0.0, 0);(243.453, 73.47399999999999);19.6
(0.0, 0);(0.0, 0);(0.0, 0);(317.524, 93.50299999999999);(311.502, 170.5118);(0.0, 0);(308.518, 63.494);(265.49, 22.480999999999995);(318.503, 137.492);(0.0, 0);(299.534, 58.465);(292.483, 66.46700000000001);(292.51, 137.494);(309.509, 164.50900000000001);(0.0, 0);(0.0, 0);(284.541, 168.487);(251.513, 104.47200000000001);(301.541, 170.49259999999998);(0.0, 0);(276.504, 68.48500000000001);(240.48, 34.47800000000001);(267.47, 137.537);(0.0, 0);(243.47, 73.51400000000001);19.64
(0.0, 0);(0.0, 0);(0.0, 0);(317.529, 93.517);(311.503, 170.5111);(0.0, 0);(308.524, 63.502999999999986);(265.482, 21.513000000000005);(318.502, 137.492);(0.0, 0);(300.462, 58.46600000000001);(292.485, 66.47300000000001);(292.51, 137.493);(309.508, 164.50900000000001);(0.0, 0);(0.0, 0);(284.543, 168.486);(251.506, 103.50899999999999);(301.541, 170.4922);(0.0, 0);(276.505, 68.493);(239.519, 34.476);(267.468, 137.535);(0.0, 0);(243.468, 73.495);19.68
(0.0, 0);(0.0, 0);(0.0, 0);(317.531, 94.49100000000001);(311.503, 170.5112);(0.0, 0);(308.518, 63.50999999999999);(265.484, 22.480999999999995);(318.499, 137.48);(0.0, 0);(300.469, 58.47399999999999);(292.479, 66.47800000000001);(292.507, 137.488);(309.509, 164.50900000000001);(0.0, 0);(0.0, 0);(284.541, 168.489);(251.497, 103.49799999999999);(301.542, 170.4933);(0.0, 0);(276.501, 68.49600000000001);(239.513, 34.480999999999995);(267.464, 137.536);(0.0, 0);(243.465, 73.469);19.72
(0.0, 0);(0.0, 0);(0.0, 0);(317.526, 93.52000000000001);(311.506, 170.4998);(0.0, 0);(308.513, 64.475);(265.489, 21.512);(318.492, 137.48);(0.0, 0);(299.541, 57.53200000000001);(292.472, 66.48599999999999);(292.499, 137.486);(309.507, 164.506);(0.0, 0);(0.0, 0);(284.549, 168.50799999999998);(251.505, 103.50800000000001);(302.493, 170.4957);(0.0, 0);(276.491, 68.507);(239.51, 34.477000000000004);(267.459, 137.535);(0.0, 0);(243.473, 73.50399999999999);19.76
(0.0, 0);(0.0, 0);(0.0, 0);(317.515, 93.51400000000001);(311.511, 170.4823);(0.0, 0);(308.51, 63.50999999999999);(265.493, 22.483000000000004);(318.495, 137.456);(0.0, 0);(299.541, 58.47200000000001);(292.474, 66.475);(292.498, 137.472);(309.5, 164.506);(0.0, 0);(0.0, 0);(285.485, 169.44799999999998);(251.505, 103.513);(302.506, 170.4948);(0.0, 0);(276.493, 68.49199999999999);(239.51, 34.48599999999999);(267.458, 137.533);(0.0, 0);(243.476, 73.51499999999999);19.8
(0.0, 0);(0.0, 0);(0.0, 0);(317.533, 94.494);(311.505, 170.4924);(0.0, 0);(308.511, 63.50999999999999);(265.489, 21.519000000000005);(318.501, 137.467);(0.0, 0);(300.459, 58.483000000000004);(292.475, 66.475);(292.501, 137.476);(309.505, 164.50900000000001);(0.0, 0);(0.0, 0);(285.489, 168.513);(251.51, 103.50999999999999);(302.507, 170.4921);(0.0, 0);(276.496, 68.49199999999999);(239.506, 34.47999999999999);(267.458, 137.529);(0.0, 0);(243.475, 73.53200000000001);19.84
(0.0, 0);(0.0, 0);(0.0, 0);(189.518, 98.47);(176.5, 170.4948);(0.0, 0);(179.536, 67.519);(203.49, 33.506);(185.481, 135.503);(0.0, 0);(195.534, 65.481);(164.54, 66.469);(162.504, 130.541);(178.484, 166.486);(0.0, 0);(0.0, 0);(156.489, 162.47);(138.496, 82.53);(171.444, 169.481);(0.0, 0);(151.489, 64.47999999999999);(170.504, 22.488);(139.472, 129.504);(0.0, 0);(156.532, 59.49000000000001);19.88
(0.0, 0);(0.0, 0);(0.0, 0);(189.513, 98.475);(176.487, 170.4998);(0.0, 0);(179.536, 67.519);(203.494, 33.506);(185.48, 135.507);(0.0, 0);(195.531, 65.487);(164.54, 66.46799999999999);(162.501, 130.544);(178.477, 166.494);(0.0, 0);(0.0, 0);(156.466, 162.486);(138.496, 82.52799999999999);(170.505, 169.493);(0.0, 0);(151.487, 64.47900000000001);(170.503, 22.488);(139.471, 129.506);(0.0, 0);(156.533, 59.49000000000001);19.92
(0.0, 0);(0.0, 0);(0.0, 0);(189.509, 98.481);(176.48, 170.49099999999999);(0.0, 0);(179.537, 67.52199999999999);(203.495, 33.508999999999986);(185.48, 135.511);(0.0, 0);(195.527, 65.49700000000001);(164.539, 66.471);(162.501, 130.547);(178.469, 165.518);(0.0, 0);(0.0, 0);(155.523, 162.477);(138.496, 82.529);(170.493, 169.487);(0.0, 0);(151.484, 64.482);(170.502, 22.49000000000001);(139.471, 129.508);(0.0, 0);(156.532, 59.491000000000014);19.96
